Country,deaths
Afghanistan,5477
Albania,2456
Algeria,3798
Andorra,127
Angola,925
Antigua and Barbuda,42
Argentina,97904
Armenia,4536
Australia,910
Austria,10721
Azerbaijan,4980
Bahamas,252
Bahrain,1371
Bangladesh,15792
Barbados,47
Belarus,3225
Belgium,25196
Belize,330
Benin,105
Bhutan,1
Bolivia,17126
Bosnia and Herzegovina,9667
Botswana,1202
Brazil,530179
Brunei,3
Bulgaria,18134
Burkina Faso,168
Burma,3621
Burundi,8
Cabo Verde,289
Cambodia,825
Cameroon,1324
Canada,26375
Central African Republic,98
Chad,174
Chile,33514
China,4848
Colombia,111155
Comoros,146
Congo (Brazzaville),167
Congo (Kinshasa),973
Costa Rica,4760
Cote d'Ivoire,317
Croatia,8226
Cuba,1431
Cyprus,380
Czechia,30331
Denmark,2539
Diamond Princess,13
Djibouti,155
Dominica,0
Dominican Republic,3870
Ecuador,21768
Egypt,16351
El Salvador,2428
Equatorial Guinea,122
Eritrea,28
Estonia,1270
Eswatini,685
Ethiopia,4341
Fiji,48
Finland,976
France,111473
Gabon,161
Gambia,183
Georgia,5415
Germany,91197
Ghana,797
Greece,12749
Grenada,1
Guatemala,9609
Guinea,174
Guinea-Bissau,70
Guyana,486
Haiti,467
Holy See,0
Honduras,7192
Hungary,30004
Iceland,29
India,405939
Indonesia,63760
Iran,85397
Iraq,17444
Ireland,5006
Israel,6432
Italy,127731
Jamaica,1108
Japan,14865
Jordan,9812
Kazakhstan,3556
Kenya,3716
Kiribati,0
"Korea, South",2036
Kosovo,2266
Kuwait,2071
Kyrgyzstan,2073
Laos,3
Latvia,2535
Lebanon,7869
Lesotho,335
Liberia,135
Libya,3227
Liechtenstein,59
Lithuania,4396
Luxembourg,819
MS Zaandam,2
Madagascar,927
Malawi,1227
Malaysia,5903
Maldives,213
Mali,528
Malta,420
Marshall Islands,0
Mauritania,490
Mauritius,18
Mexico,234458
Micronesia,0
Moldova,6205
Monaco,33
Mongolia,660
Montenegro,1619
Morocco,9346
Mozambique,939
Namibia,1812
Nepal,9320
Netherlands,18046
New Zealand,26
Nicaragua,192
Niger,194
Nigeria,2122
North Macedonia,5486
Norway,796
Oman,3371
Pakistan,22520
Palau,0
Panama,6604
Papua New Guinea,177
Paraguay,13729
Peru,193909
Philippines,25650
Poland,75135
Portugal,17135
Qatar,598
Romania,34168
Russia,138441
Rwanda,521
Saint Kitts and Nevis,3
Saint Lucia,85
Saint Vincent and the Grenadines,12
Samoa,0
San Marino,90
Sao Tome and Principe,37
Saudi Arabia,7933
Senegal,1184
Serbia,7064
Seychelles,74
Sierra Leone,109
Singapore,36
Slovakia,12516
Slovenia,4423
Solomon Islands,0
Somalia,775
South Africa,63499
South Sudan,117
Spain,80997
Sri Lanka,3391
Sudan,2760
Summer Olympics 2020,0
Suriname,563
Sweden,14642
Switzerland,10898
Syria,1895
Taiwan*,718
Tajikistan,97
Tanzania,21
Thailand,2462
Timor-Leste,25
Togo,133
Trinidad and Tobago,923
Tunisia,15861
Turkey,50096
US,606475
Uganda,2033
Ukraine,54894
United Arab Emirates,1849
United Kingdom,128601
Uruguay,5772
Uzbekistan,760
Vanuatu,1
Venezuela,3253
Vietnam,104
West Bank and Gaza,3577
Yemen,1365
Zambia,2672
Zimbabwe,2029
